Circuit.ieee13nodecktassets {5B816B93-7A5F-B64C-8460-47C17D6E4B0F}
Topo=646=1 {44F7E49B-55D1-4ABD-AEE7-FE5648856B0F}
Topo=692=1 {9C992550-35B1-450C-A118-16E3461F566F}
Topo=675=1 {E0AD70BD-6428-40C8-A95F-428D51620FE7}
Topo=611=1 {9E6A4159-C829-4D7E-9A95-5B87FFDD53DB}
Topo=652=1 {376E587E-F107-426C-BD30-99484F31167F}
Topo=670=1 {31A5B81A-EA91-4096-B229-B35003EE976A}
Topo=632=1 {4EBBAEDF-F546-4BFB-A0A0-D8350210DF75}
Topo=680=1 {5DEDD51E-0CA1-4BB8-9D46-6EB2064236D5}
Topo=684=1 {7CEDFCF6-E932-4390-9C7C-C321185BD34B}
SrcLoc=source=1 {3F99090B-CA0F-485B-8337-020955CD6EBB}
25=source=1 {03D4AECC-F757-41D4-A2C3-D4C80A7AE26D}
PosPt=Vsource.source=1 {E1F2D724-377E-4DE8-8E87-E13978DC4C7B}
CapLoc=cap1=1 {8B2DF399-9BB4-4EFE-9EED-9F9B72B3B8B0}
106=cap1=1 {B419F939-0900-4F5B-A5E8-888DA638A60E}
OpLimI=OpLimI_112.4_149.9=0 {B3C37FE2-9EA1-4395-89AE-36DF6EAFAE70}
PosPt=Capacitor.cap1=1 {2091DB5A-36EC-4A53-9A55-3909042972AB}
CapLoc=cap2=1 {3742B733-5C5A-4552-A2DA-768B266314F5}
CapPhase=cap2_C=1 {2DECE8DC-E9C1-4C34-A729-CDACAFE6F768}
106=cap2=1 {E4552638-C557-445F-B802-A3651855C49C}
OpLimI=OpLimI_56.3_75.0=0 {7E77490E-6FD0-4496-AC80-9265821EA96B}
PosPt=Capacitor.cap2=1 {8875CD6A-41D8-45AF-B1A3-4113898F0B95}
50=684611=2 {DEE28585-C381-4C31-8F9A-D6E138130719}
XfInfo=subxfmr=1 {E827196F-6366-4947-94A5-F3599CB75473}
WdgInf=subxfmr=1 {E0BD39E3-7833-45C0-B2E7-6E426254AB38}
WdgInf=subxfmr=2 {BA4513B0-9E36-4B25-AAC5-A1488BCB2CEE}
OcTest=subxfmr=1 {8B5E75A6-15D3-47C7-8996-A7DC05E52154}
ScTest=subxfmr=1 {0873616F-FA25-4ECE-BD9A-891D51AA8D92}
TankAsset=subxfmr=1 {327DB070-AEA7-4A70-9F7E-F9956AD87AEC}
XfInfo=fdrxfmr=1 {2F385558-4664-42FF-9804-B0BCAC94DDE2}
WdgInf=fdrxfmr=1 {D153D0D6-2FED-40CD-8ABA-B976CC7FB8C3}
WdgInf=fdrxfmr=2 {6EBB80E6-8D12-4665-A810-FB99859FBAA9}
OcTest=fdrxfmr=1 {6CE4D613-CA5F-45B3-9602-F298D6D8B9E9}
ScTest=fdrxfmr=1 {08100B21-9A64-4391-BB89-663F8919761E}
TankAsset=fdrxfmr=1 {E8DFD932-A2BD-457B-B529-E6F94A1E6736}
XfInfo=regleg=1 {7FCF6433-A22D-4B0D-B037-4580D545971F}
WdgInf=regleg=1 {6088708A-CAD4-4F8E-A457-0CEEEC67FF0F}
WdgInf=regleg=2 {7E2E4398-462A-458C-9EB9-F144D85D5FA3}
OcTest=regleg=1 {C9047AB2-6E34-44D7-896D-AFBA92E14EC9}
ScTest=regleg=1 {69608DE2-8815-4856-A6B5-39C46D5D0556}
TankAsset=regleg=1 {B0EA6950-6EFE-4BC1-A03F-028C4E5B2FBF}
Bank==sub=0 {6ECF60CD-E1E5-4C59-8941-3EC0E9DF30DD}
Bank==xfm1=0 {F229083B-D5FC-40F0-BFE0-9E92C8C69574}
Bank=Reg=0 {34A04257-8486-40AC-BE74-4022F7D395E4}
XfLoc=sub=1 {1024D4ED-3F32-46F6-93B2-E407A03DB294}
PosPt=Transformer.sub=1 {CCCC6E1D-08CA-419A-A4A9-818D66F386EC}
PosPt=Transformer.sub=2 {F71999EB-7BFB-4488-B67C-663153FCF4C1}
Wdg=sub=1 {CCF9DF74-ED5A-485B-BB6D-47B150B35B2B}
Wdg=sub=2 {F4A0A53F-F9B0-4AF9-9901-625B4A25AF91}
XfCore=sub=1 {0625B9AA-818D-4AD5-BA3C-2F7EC274DDE5}
XfMesh=sub=1 {229C97D0-B4F3-4810-BBC6-D3069AE55A0F}
34=sub=1 {FB232D9A-027E-4CF2-A75C-C95F2C454D93}
OpLimI=OpLimI_27.6_37.7=0 {6D8B74C2-2C07-4570-A4DC-E4287B0B9B62}
34=sub=2 {67A4EE9A-AE33-4CB8-8716-4F181BB8262E}
XfLoc=xfm1=1 {C815DD9C-D316-4C1A-A85E-7FBC6779A081}
PosPt=Transformer.xfm1=1 {09981524-5820-4B37-8BC8-25ADB8E02C2A}
PosPt=Transformer.xfm1=2 {59069CCD-2B97-47EA-9897-DB04EE31C093}
Wdg=xfm1=1 {DDA9B42E-7A3A-4D49-AF61-2FEC7B257F9A}
Wdg=xfm1=2 {3FAE4011-50E0-4159-BC27-843648D45CA2}
XfCore=xfm1=1 {0EFF8D5C-F537-4125-9A14-126E5BCD9491}
XfMesh=xfm1=1 {C74FA76F-E321-4795-9C9E-B5C482B6AF32}
34=xfm1=1 {582C742F-9898-46BE-B6A8-5934F90D1F0C}
OpLimI=OpLimI_76.3_104.1=0 {4F2A343F-64CF-4A54-A7A2-AB534046BE08}
34=xfm1=2 {3E1DEBD3-2916-483A-BC92-7A1C941A9762}
XfLoc=reg1=1 {B4E2A46F-F985-451E-A14A-933A626AA1C5}
PosPt=Transformer.reg1=1 {2D47627A-D4AF-49EC-A170-A574EEECF51C}
PosPt=Transformer.reg1=2 {91F48591-3809-4CA4-ABA5-CAC66C8259C6}
Wdg=reg1=1 {54CC1C69-DD88-49A4-A9B7-983122BA3E64}
Wdg=reg1=2 {30FB2A03-4553-44B8-B737-F3A2C2D3C120}
XfCore=reg1=1 {ADFCF2F2-F3A6-4A61-9862-5EC0E2FF995C}
XfMesh=reg1=1 {02F2E4E6-7137-446A-AA34-FFA174FD8D31}
34=reg1=1 {395CB268-01A1-418E-A61D-9AF2BF55C72D}
OpLimI=OpLimI_763.6_1041.3=0 {B1FB4BFC-CA3E-4C20-88BF-A25ADACDE687}
34=reg1=2 {69556E23-9E03-486A-B584-799FC0A2725B}
XfLoc=reg2=1 {4390F36E-33BB-409B-B038-955A08F27DCA}
PosPt=Transformer.reg2=1 {F3E2B4A5-B1CF-4B94-A036-A8D49BF1CF85}
PosPt=Transformer.reg2=2 {0B36B202-DED6-41EB-B684-188EA21F7443}
Wdg=reg2=1 {6D476C5D-5077-42BD-82C0-54AF4B80B3BD}
Wdg=reg2=2 {24029944-B480-4C10-8D74-8889BDF6890E}
XfCore=reg2=1 {49288CEE-46EE-4EE0-B169-033C06D50062}
XfMesh=reg2=1 {09A97916-0540-404A-A38C-85D30688AC94}
34=reg2=1 {77761EA2-B88B-42FA-B53B-2389D5FF10C6}
34=reg2=2 {7A9A50A7-5B0F-4DA6-A53E-53575FBC68CC}
XfLoc=reg3=1 {2799A8F9-7C70-4639-AAD6-0B435B96182D}
PosPt=Transformer.reg3=1 {110AB233-C92E-40AD-882C-81AD28476B77}
PosPt=Transformer.reg3=2 {59D144CC-7CFE-4AD7-BDD8-B9D895834A41}
Wdg=reg3=1 {62463CA4-6A93-4ED4-B4DA-DA44B648791E}
Wdg=reg3=2 {18953B18-B77F-40DF-BF06-62F5BFF37D14}
XfCore=reg3=1 {C9A335B1-F362-441E-B3D6-FA9E5C40B3C2}
XfMesh=reg3=1 {5797A659-2FA9-444A-9218-B1DC247DAEEB}
34=reg3=1 {06871ECF-88FB-462A-82BB-05FB228C3A65}
34=reg3=2 {542544DA-AA1C-4F45-A8FA-10ABCF5BE28F}
TapInfo=reg1=1 {926F7C8B-97D7-46E9-8755-D43C20E1C5DF}
TapCtrl=reg1=1 {F2E829B3-052B-4DAB-A9BC-AF15589447B6}
TapAsset=reg1=1 {47BA4A0A-10C6-4AF3-812A-144EE8B6C624}
TapInfo=reg2=1 {D8364DD9-C769-47DA-8A30-1F62C33A7D08}
TapCtrl=reg2=1 {ECB1D024-66DD-4842-87CF-B9822A02C597}
TapAsset=reg2=1 {1842605A-CF19-4BFA-AD9B-9F07639EC054}
TapInfo=reg3=1 {96C9887C-E64C-4587-9707-624AA7A08962}
TapCtrl=reg3=1 {31827649-3416-4427-8DA4-0FE726F70626}
TapAsset=reg3=1 {67BB9BBA-0563-4FE7-85D6-87437044A4E9}
LineLoc=650632=1 {932E8033-90CD-4719-9F3D-DC60B64B9F49}
LinePhase=650632_A=1 {0A0392F1-21ED-4AF5-8D42-44535B1A3ED1}
LinePhase=650632_B=1 {65555B1A-1EDD-4E63-BB54-B566B14C939E}
LinePhase=650632_C=1 {3B8C7DC4-3770-4E5F-855F-04A26B9D5F5F}
LinePhase=650632_N=1 {4131283B-4405-4490-B43D-D6BB184CCD34}
50=650632=1 {82C4B32A-62D0-41FB-8A29-C64F3870E3EF}
OpLimI=OpLimI_730.0_1095.0=0 {A9322360-72DC-4702-A235-B95DBD106ECB}
50=650632=2 {60290BDE-69A0-49FC-BEE2-B8C355B51330}
PosPt=Line.650632=1 {F1E88D57-A1CD-4188-A649-3275328E9F7B}
PosPt=Line.650632=2 {17AB8865-D5D4-496C-88D2-1EB76DFFD13A}
LineLoc=632670=1 {06B70B6D-EE1A-43C2-B45C-9FCEE475A889}
LinePhase=632670_A=1 {6B14CFBF-7C00-435A-9327-2930D30591CC}
LinePhase=632670_B=1 {5ACFD5E9-FC70-47F2-9B90-9520D849FC22}
LinePhase=632670_C=1 {E7BAEADD-0D09-427C-A790-3819ED4656D0}
LinePhase=632670_N=1 {C1E80A57-436B-47DB-B64A-2C0FE569D2BF}
50=632670=1 {CE8A51BA-8160-4AAA-907B-853BD19141E3}
50=632670=2 {B6000E34-260D-470F-B6F4-069DBEC65631}
PosPt=Line.632670=1 {896F2373-65B7-4790-81E7-552E5464FC50}
PosPt=Line.632670=2 {B8078FBF-A633-472A-AEE8-A5388973A264}
LineLoc=670671=1 {9160AFFA-5E86-4EFB-901B-23984101B742}
LinePhase=670671_A=1 {A884FBB3-F68C-4432-80C0-93784DD82B94}
LinePhase=670671_B=1 {CD77D72C-E33C-45B5-9145-8209BE58B06C}
LinePhase=670671_C=1 {BDC43EFC-258E-486E-AB87-B226B910417E}
LinePhase=670671_N=1 {751872D8-9747-4322-95A1-D5F7D634BFEF}
50=670671=1 {AF113CF9-9B02-4D61-B831-1E02709C8E93}
50=670671=2 {04DCA1EA-04D2-48D8-8394-82E412AF5616}
PosPt=Line.670671=1 {BAB3F66A-26E3-4AA1-88C3-21C0A5F5E545}
PosPt=Line.670671=2 {2864F15E-7F63-4350-BBE0-66D6F1829EC1}
LineLoc=671680=1 {55091F0F-6AC5-485E-8165-170F62D69D8C}
LinePhase=671680_A=1 {1C29457E-E627-4FC3-A235-AE6EEA79943C}
LinePhase=671680_B=1 {62F7C0F1-96AA-4B70-B86F-0AFB799EEAA3}
LinePhase=671680_C=1 {1B45289A-C7DD-4129-8AA7-4A10A29DEEB8}
LinePhase=671680_N=1 {53BA78DF-EECC-4EDE-BBDF-E12AD62B76B6}
50=671680=1 {78ED9EED-991C-4622-9475-A17212AED8AF}
50=671680=2 {2DC3EF16-F881-42A9-BF65-1158799F132A}
PosPt=Line.671680=1 {D769A4CA-6E30-4785-A3E9-C7E22C33BFF0}
PosPt=Line.671680=2 {DEE21442-66A3-4749-86FB-DAFB919E7E99}
LineLoc=632633=1 {887ED44C-D0BE-413A-8182-FDEC5F287CE1}
LinePhase=632633_A=1 {E03CE9A6-46A1-450D-ABD6-D9AB22849342}
LinePhase=632633_B=1 {18D18B0F-D77D-4BBA-95B1-9917C71FE01F}
LinePhase=632633_C=1 {D86836B7-A6CF-4E85-9DA6-BCCAF88C9509}
LinePhase=632633_N=1 {BC21D98C-54A6-4590-806E-AA93468A77A7}
50=632633=1 {2E9A8734-C4F8-4C76-8AF3-F0627DCBCBEB}
OpLimI=OpLimI_340.0_510.0=0 {990EFFE4-EF12-4BE8-BD97-01660611FEA5}
50=632633=2 {EB08CE02-875B-4409-B16C-615D8F87D372}
PosPt=Line.632633=1 {C2BC8DE2-9026-4BD8-8399-8744458C5814}
PosPt=Line.632633=2 {52CD49CE-49F4-43AC-A27D-6926493AC3C4}
LineLoc=632645=1 {DE19C1E0-C2FF-41BF-B897-1DBB7E7BFBCC}
LinePhase=632645_B=1 {A8AA2ADE-C485-4D0E-A373-CEFAD7BBDC11}
LinePhase=632645_C=1 {80DA0453-CB4D-4FAF-95F6-F55BC1FD4025}
LinePhase=632645_N=1 {1B069F72-70D6-4C4D-8E5E-FA7BB969BA5B}
50=632645=1 {E34BA9AE-07FD-4350-B7F3-325DD010A768}
OpLimI=OpLimI_230.0_345.0=0 {179C99FA-7453-479E-ABD4-72BE6D20A37E}
50=632645=2 {3242BCAC-B8AB-4548-888E-5EA967691090}
PosPt=Line.632645=1 {25ABE0D5-C436-402D-A1FC-5B49AB2F366C}
PosPt=Line.632645=2 {0EB072E4-7D37-4E3F-BB0A-672287710EC9}
LineLoc=645646=1 {223C440A-5D7D-4FC0-A2C7-0E222B681426}
PUZ=645646=1 {14F49BE6-1C8F-4892-9868-910DD8605ECD}
LinePhase=645646_B=1 {FA8A472C-6D2C-4605-A594-4200AED4FC3F}
LinePhase=645646_C=1 {A5ED6EC7-2D5A-4F0A-B5A6-8DFB3A7DACBC}
ZData=645646_PUZ=1 {4ADA186E-92D6-4F2C-B8D4-9723FBCD8CDA}
ZData=645646_PUZ=2 {12A0D2D4-58A4-45D0-B646-6A2A4670DDB4}
ZData=645646_PUZ=3 {3A134AFC-569E-4B5B-B4EF-660D615B027F}
50=645646=1 {CA7CF6E9-DC73-4970-AED7-97D2F1AB9C7D}
OpLimI=OpLimI_230.0_600.0=0 {C6B3352E-A6F5-4F2E-8981-0E907ABB702D}
50=645646=2 {91E21558-6FAE-47D6-9756-D3703B4CCFE6}
PosPt=Line.645646=1 {B0263FE0-8A47-4E7D-8D1B-C4E9147C6304}
PosPt=Line.645646=2 {4664BF6E-52AC-434B-AFAA-0687BBF84B22}
LineLoc=692675=1 {6D36746B-C083-4CE2-87DD-256D6C668613}
LinePhase=692675_A=1 {35FF14DC-7F66-44F6-A767-32F3D382C173}
LinePhase=692675_B=1 {C3AAFFD5-8C98-4DB5-8E6C-DC99E345D13C}
LinePhase=692675_C=1 {C7529946-755B-4322-950A-AE9FD9D9F1F6}
50=692675=1 {30DE3992-164E-4202-9928-92BB035621B3}
OpLimI=OpLimI_260.0_390.0=0 {4770F7FC-88D1-4B6E-B204-D21FCA8164D7}
50=692675=2 {FD181CFF-8F3F-43E0-96D4-FA80E71D6A2E}
PosPt=Line.692675=1 {8DC019D2-1291-4FA2-8EF9-A65AB1ECE9D1}
PosPt=Line.692675=2 {27DECA9A-2A5E-4434-B2E2-30D530AC4247}
LineLoc=671684=1 {2DE7691B-723B-416A-87B6-35B22FBA52B6}
LinePhase=671684_A=1 {1D64743E-4A88-4098-8F86-D45366F70AFA}
LinePhase=671684_C=1 {6DF2D0DA-56BF-4EEB-921C-536464AC4C26}
LinePhase=671684_N=1 {BE2F153C-C16A-4BFA-9E29-8AA09F39BEEF}
50=671684=1 {636377F0-4E50-4C65-9320-35E0A68731BE}
50=671684=2 {38B542B8-1A65-4211-9B2C-73FC39382959}
PosPt=Line.671684=1 {D456AEAC-D477-4D5D-AD6F-943CE097A87D}
PosPt=Line.671684=2 {813C4C24-6EF9-4357-B173-FAB41D6EB808}
LineLoc=684611=1 {5D45993D-7DA8-4193-8E80-1F783DE4CA5C}
LinePhase=684611_C=1 {59EB46DC-3D44-46C8-AFA6-13845A36D90F}
LinePhase=684611_N=1 {D0B319EB-B001-4C89-A605-E2BC1813DE92}
50=684611=1 {53964AFB-BE4E-4890-A694-957172605378}
PosPt=Line.684611=1 {AB9F7BFE-234D-4952-8606-144A0CBD86AF}
PosPt=Line.684611=2 {705E41A5-5B7A-456A-82A0-A3F7E6E8EE01}
LineLoc=684652=1 {98B2C178-838C-4E35-9686-D4E91B664C9F}
LinePhase=684652_A=1 {B65BD02D-760B-451F-81C6-C8FA78478899}
LinePhase=684652_N=1 {6F8BB3D7-5626-4978-8ADF-2D426CEB916D}
50=684652=1 {AF8E4B1E-76E3-4B5D-9505-E73E89BEDB1C}
OpLimI=OpLimI_165.0_247.5=0 {3B638EC4-916C-4E1C-8044-0C9A757ED70D}
50=684652=2 {CE782974-DCE7-4E04-8623-D139AE89EC0F}
PosPt=Line.684652=1 {BCBA5E26-1383-4423-9553-5895509990B0}
PosPt=Line.684652=2 {C5C1E4D6-51FD-43B4-AC47-8A01365FA89A}
LineLoc=671692=1 {842A998A-FFDC-4B7D-84CE-DC140BFAF419}
50=671692=1 {91D60890-17F3-4D7E-A79D-A03966031476}
OpLimI=OpLimI_400.0_600.0=0 {458BF7E8-7252-4FD4-921A-A79898162D12}
50=671692=2 {40B4E0EC-E894-4A0A-8F4F-01D571954B09}
PosPt=Line.671692=1 {0E53D282-51A4-4DED-BB19-CC4F1AD17663}
PosPt=Line.671692=2 {0EC03B44-0F9B-477D-901D-A3E99BFF5A14}
LoadResp=ConstkVA=1 {4F22B7B2-2B57-4B5E-8B7A-B3CB3E592B77}
LoadResp=ConstZ=1 {47554DD6-6366-4616-8901-9CC056B542A3}
LoadResp=ConstPQuadQ=1 {02657537-CD9C-4CC3-9C5A-9E7AA9FFF098}
LoadResp=LinPQuadQ=1 {138E3A42-EB6C-400D-9383-4EB6E5075AC8}
LoadResp=ConstI=1 {23F6BA9D-CA9F-4FA0-BD2B-296F41AC82BD}
LoadResp=ConstQ=1 {4492A87B-9A1F-41F6-86B4-0DDF3F23795D}
LoadResp=ConstX=1 {24BAF6ED-2C23-4981-A217-293A44E9A6A5}
LoadLoc=671=1 {9E7E8173-0D52-468D-BC06-A97213B31004}
59=671=1 {A6716971-5376-43CD-9F13-AD2AEBD26FBC}
PosPt=Load.671=1 {7C303417-59D7-45D8-99ED-600074F82B0F}
LoadLoc=634a=1 {1DE3A7E5-F45B-4A0B-BE90-924347D352BB}
LoadPhase=634a_A=1 {92EA93A9-6949-4B8F-8114-4CF1D710E38C}
59=634a=1 {38E5C6E9-68A6-4E29-B6A7-2243E96DC535}
PosPt=Load.634a=1 {8527C85F-BE36-4CFA-9E8D-E9B03C0FC2B1}
LoadLoc=634b=1 {5E5CFD15-4DDC-4966-8E56-E4B07FD649E5}
LoadPhase=634b_B=1 {295953EB-AA6C-42CB-ADEB-95F3A58992B3}
59=634b=1 {56F5823B-D61B-4B64-BEA4-A6175B2E31EE}
