Circuit.ieee13ochre {13AD8E07-3BF9-A4E2-CB8F-C3722F837B62}
Bus.tl_house_11 {6DC06294-E7CE-4B2E-9B4F-AF9F19E8C3E8}
Bus.trip_node12 {2894063C-3951-436B-B1B4-D4E158344213}
Bus.tl_house_12 {05F9CD59-2633-46FC-9840-5F3D93ABA051}
Bus.trip_node13 {524D3247-392E-4804-8220-9B7FD6903320}
Bus.tl_house_13 {EFB7B974-13A5-4C01-8FA4-25DA100E23B6}
Bus.trip_node14 {D22251AA-1AA0-4B72-89AC-1DF932B00161}
Bus.tl_house_14 {350CB044-AFE8-4B13-9135-1CB4CDEDA084}
Bus.trip_node15 {8775B155-6DAD-467F-B60D-A6D2A3A592B2}
Bus.tl_house_15 {7452C4A0-197A-4B6F-A59C-4F0D00B5D5C7}
Bus.tl_house_16 {77757AF8-122B-4D5B-BD08-C316C998C640}
Bus.tl_house_17 {73A718D6-4F5C-452B-8867-39EC11A29F42}
Bus.tl_house_18 {CCA02C69-8413-4178-AB06-B395BD8A1858}
Bus.tl_house_19 {0078D007-1C11-4A92-8281-5331C0B32575}
Bus.tl_house_20 {870BCB64-5EBA-4EE1-BC6A-1D10BC435AD0}
Bus.tl_house_21 {787A4F84-7A15-477B-9C27-F1DFA11AF21E}
Bus.tl_house_22 {2CD8692D-8BE1-4EAF-9B5E-5820FD936FFE}
Bus.tl_house_23 {807B9F7B-9DF7-489C-B18C-1349E1095501}
Bus.tl_house_24 {64C9A432-3A10-4CBB-9D2C-98DFDAE7A5B9}
Bus.tl_house_25 {E0D6FA21-A5BA-4A52-90AB-091CBCCB31FD}
Bus.tl_house_26 {FC16094E-2B6B-4163-B958-615E73321372}
Bus.tl_house_27 {E5DF8779-80F7-4AFD-ABB0-0B9F383F2583}
Bus.tl_house_28 {B30B1889-51EF-4A60-9308-1945A5A974AA}
Bus.tl_house_29 {D81C7785-4009-42FC-B3F1-9C049B4385E4}
Bus.tl_house_30 {D94DC4F7-9513-465F-AB43-6C7A043FB978}
Bus.tl_house_31 {9FDEF1D0-3CE0-4204-BF1E-119BB3402CD4}
Bus.tl_house_32 {23A870D7-8472-4FF2-91BA-B59ADE333DD9}
Bus.tl_house_33 {88ABB664-9E2E-465E-906D-691F38FFD4D2}
Bus.tl_house_34 {0E946AAF-EED9-4B0B-B8FA-758D6EB9FAB1}
Bus.tl_house_35 {C09393A4-6E7A-4989-956C-C8F93C8DB012}
Bus.tl_house_36 {19EB23E5-E99E-4BF4-96D7-8C9C9C160A50}
Bus.tl_house_37 {CB3D28A8-079B-45B8-B3B7-B06F4ED49E99}
Bus.tl_house_38 {0ACACE3F-65A2-4AE0-9D2D-6EA01D90CA82}
Bus.tl_house_39 {FBBE1061-D5C5-426D-849E-3E8B443239BA}
Bus.tl_house_40 {98E9CE6F-E918-41F7-8653-318619CFE9D6}
Bus.node_634 {8FF280B9-5EFE-4025-AA33-2F219F3D1612}
Vsource.source {D0299CDC-78FF-4825-8052-713F97502E65}
Line.trunk {05226278-E1E2-4C24-BA20-34D863BC5FE0}
EnergyMeter.feeder {894BCBD3-0499-4D81-8826-B1B74B92BDDA}
Transformer.source_650 {DC9022BC-543E-4A4A-B1F7-8DBAA39E83F3}
Capacitor.cap1 {BA4F745E-0B91-4A01-B47A-7C59424AC71A}
Capacitor.cap2 {FC4E09A2-CDCF-45F0-A8FF-CFC7B5AF4870}
CapControl.cap1_ctrl {50DF784A-D3E0-436D-AE75-AA4C5008C29A}
CapControl.cap2_ctrl {9F2A7621-04C2-4097-B1FC-BC90C5C05692}
Line.671-692 {A225FAA6-F8F9-43CF-9721-CB6770424F2A}
Line.632-645 {136D549E-74AE-4D13-A948-F58B3249A732}
Line.645-646 {DB762103-EC9A-44FC-879F-D87B9AD5425E}
Line.630-632 {CC7BAD46-1DF3-49DE-B2E3-4AE8C7555FB9}
Line.632-6321 {71F6368A-C279-40A6-AFB7-661F57D9AA2D}
Line.6321-671 {BDFE1C01-B262-4A38-8121-6CD1A5C20929}
Line.671-680 {CFFA16D5-D01E-4EED-BB5D-A88CE5659663}
Line.671-684 {A423419A-C573-4FE1-97DA-EC4AAD4EADC8}
Line.684-611 {35FCF5F0-0C75-481E-B1A4-344F00A0B6D6}
Line.632-633 {BE699980-1BB4-4B7B-89FD-7A13EBB132AF}
Line.684-652 {9CFED6DC-0FC0-45EC-AC0B-9F67CE0BBDBF}
Line.692-675 {DF508152-D9EF-45CC-955F-4B0497DE7A93}
Line.object_110 {90610DC9-244A-4E02-8702-56C9227BC46A}
Line.object_111 {77764426-CF48-46C8-BB08-705A5D24907B}
Line.object_112 {AC8AB313-BB44-4F9B-8A97-C7F4D27B67EA}
Line.object_113 {494CCE7D-1C62-4A17-A75C-83FEB9345451}
Line.object_114 {BFF3B431-49DF-490A-8BB7-B3DC3BD9F693}
Line.object_115 {40BDDD25-2F61-4BDD-A8B5-2D3465B08BC6}
Line.object_116 {DAB38FFD-33E3-47DF-A113-A2674F27A874}
Line.object_117 {FE5F689F-E62D-49F6-87B7-DD89F3F97660}
Line.object_118 {59B7A441-9FCD-4944-AD00-6A3B6AB54D33}
Line.object_119 {9323C302-F1FE-429B-AB8F-57BED6355751}
Line.object_120 {7D20F931-B497-4159-AFDE-358863874E8C}
Line.object_121 {3EBADD4D-BEDC-4095-98C1-79E8697A4302}
Line.object_122 {02887488-D34D-4BC1-80E8-098AE3FE4F38}
Line.object_123 {93E2B6E9-792C-430E-B153-6FDFAD026113}
Line.object_124 {4E319B2A-9766-4AB0-BB0A-30EB9F9CAD17}
Line.object_125 {2114BB64-8C00-4F89-9FDB-5AD94FC885D0}
Line.object_126 {581B603C-F0F5-4988-A6E5-7BAC7C7AC941}
Line.object_127 {4810607D-6EF4-404F-91FA-4C1667931448}
Line.object_128 {26F08597-D4FB-4599-ADE2-2075D513288C}
Line.object_129 {53AB241C-76EB-420B-B6A6-E618F27AE964}
Line.object_130 {45859D99-9214-4DCB-8796-3B862F2ED342}
Line.object_131 {BAFFACC4-EF80-48A7-9CDE-1751AD589BC2}
Line.object_132 {4A24F2B8-7B05-4690-8668-BFCBC19F4CA4}
Line.object_133 {8862885E-94B5-44A1-B256-6653685FDE77}
Line.object_134 {D2500B64-1FC5-48E8-BEBE-F6EE183D0EC8}
Line.object_135 {18684255-380B-430F-993B-722B7578B706}
Line.object_136 {474E9C74-0284-4BE6-A973-3838671A5B45}
Line.object_137 {C99014DE-4326-4D3B-9D7F-7D1BBBB43BE0}
Line.object_138 {AE95A7C6-6183-4000-AC7D-86E453C72B4A}
Line.object_139 {654DEDFA-52E1-43D4-BFB2-27A960374EEF}
Line.object_140 {24D37D93-8D62-4984-800C-268534375487}
Line.object_141 {E2F5E38B-041A-4D58-ADCB-D776235FD595}
Line.object_142 {1C3AD7A2-575E-416B-824A-CF46C723FF66}
Line.object_143 {B6241F1B-0770-4BF9-8C66-D7DB33841CA9}
Line.object_144 {680212D3-5F09-4056-B7A0-0B8F73749BBC}
Line.object_145 {FEC978A9-4AD0-48E7-982E-43338A3A0208}
Line.object_146 {67DAC755-F8E3-4061-B65D-C82E0F4F34B4}
Line.object_147 {F2F0F200-8BAF-4A82-826F-EC4962A2E897}
Line.object_148 {B37597A9-6CAF-48BA-939D-94A00806E4CB}
Line.object_149 {B01947B9-A67B-4360-81B8-BEE5C66666F4}
Transformer.transformer_center_tap_1 {70B72575-FC20-44F2-BE9C-A7B5FDCC666A}
Transformer.transformer_center_tap_2 {E29C4491-A100-4E1C-9E7C-35CA9FF5E0CD}
Transformer.transformer_center_tap_3 {6D7EF57E-54AD-4452-BDB7-763009426D45}
Transformer.transformer_center_tap_4 {D0A52BF1-BB99-4D24-A84E-6D74C4A66B41}
Transformer.transformer_center_tap_5 {CF89D859-981E-4938-9E21-234A5129B695}
Transformer.transformer_center_tap_6 {239F6E7E-F9D4-4B3E-AF99-CB38D7A3BB06}
Transformer.transformer_center_tap_7 {A0491EF8-F331-4643-B526-24DAE74AA051}
Transformer.transformer_center_tap_8 {6E8B46E0-71DF-4DBE-B1C3-84C840E769C7}
Transformer.transformer_center_tap_9 {7B033890-0537-41BA-AC32-1FB0CF83D6C3}
Transformer.transformer_center_tap_10 {1A2AEAE8-B1A0-4482-9724-962265B7303C}
Transformer.transformer_center_tap_11 {5E10BBF9-F090-4834-9B9A-9F29BCFF8565}
Transformer.transformer_center_tap_12 {164CD878-60C1-46C6-93D3-3BF05ECB1063}
Transformer.transformer_center_tap_13 {8A9BCA65-30D8-45C2-9FC9-6F664DF966BC}
Transformer.transformer_center_tap_14 {37B32824-B27A-4CD7-93B6-B0BA4B69913B}
Transformer.transformer_center_tap_15 {0853F3BF-3628-49EF-8AD0-8AC755A645FC}
Transformer.transformer_633-634 {C1BCB217-B799-4DD1-A0D0-8670BAD8E477}
Load.tl_house_1_240v {3DD7EEB7-28CD-4AB2-9604-14FFA81C7DF4}
Load.tl_house_16_240v {FD838715-1F05-4FE9-A20E-405928541E1C}
Load.tl_house_31_240v {0D92B5A9-2170-4A86-899E-3221D34B7765}
Load.tl_house_2_240v {0D5D988D-5364-41FC-ADCA-E156FF0B4307}
Load.tl_house_17_240v {0F7067E3-3A1E-4846-9647-99123A01B331}
Load.tl_house_32_240v {692DC190-A730-4B5B-B0D0-95974ED446EB}
Load.tl_house_3_240v {7A790B14-FCA1-4A7E-B972-32DF274C4882}
Load.tl_house_18_240v {E477425B-C881-47AB-B5FB-936D2715CA34}
Load.tl_house_33_240v {D6805FAA-4403-4814-83F6-A55BE2A880F8}
Load.tl_house_4_240v {E64BA487-FB3D-43D5-AAF9-5D3118E60F38}
Load.tl_house_19_240v {A036D585-92A2-4222-BD26-2C30D4237FA1}
Load.tl_house_34_240v {50D05234-7F17-49B6-868C-7D12FC50D279}
Load.tl_house_5_240v {CF700D23-3FA6-4F54-A6AE-E0615F33AF3D}
Load.tl_house_20_240v {36333540-A6D6-413E-AC01-A85A04FA864C}
Load.tl_house_35_240v {226B4897-7477-4F40-AAFC-EC5198973FE4}
Load.tl_house_6_240v {6FA8B2BB-D626-4112-AC79-DAF9343F8294}
Load.tl_house_21_240v {924528CC-07E4-4540-B58E-8CA4B5D10A8C}
Load.tl_house_36_240v {4F8518E3-05DC-4B1E-8B29-C4EE5935DD6C}
Load.tl_house_7_240v {F163B8A2-19AE-4C09-A8E5-86453F7B9BB3}
Load.tl_house_22_240v {5CB299C5-B7F0-4D6D-AD49-26BD29040A6A}
Load.tl_house_37_240v {358600F4-6E51-442F-B1E6-82C3260893E4}
Load.tl_house_8_240v {F09775C8-DC32-43BE-8A41-A22960DC7E41}
Load.tl_house_23_240v {DF6707E3-8963-4643-BECD-1A07D13CAF9F}
Load.tl_house_38_240v {31129509-E705-4BB0-BE5A-8FDF88CBAF31}
Load.tl_house_9_240v {99E3EC57-6A52-4375-B380-87C221819858}
Load.tl_house_24_240v {3ED4FA0C-0499-4FFB-8086-E178B6B98497}
Load.tl_house_39_240v {D5AE9662-896A-4D99-850F-74B23EF57D69}
Load.tl_house_10_240v {D989FF30-BC90-4869-9732-5D714D3FB054}
Load.tl_house_25_240v {7CBDDB65-2BEE-4C17-8C6A-6BD982D01347}
Load.tl_house_40_240v {1B82DE83-68DE-4E36-BE8F-90304ABA0207}
Load.tl_house_11_240v {6EF9C793-5E57-4D79-B481-79E7CAE0BBE6}
Load.tl_house_26_240v {398AAF0F-A09F-4228-88DE-3A2DB99243E2}
Load.tl_house_12_240v {1A9D5FD5-F4D3-4D24-95E6-7B7F8EDC0A15}
Load.tl_house_27_240v {11430B23-2822-4156-9957-93A05452F92C}
Load.tl_house_13_240v {B0CC3CED-542B-4325-A11D-64E1EB020A1B}
Load.tl_house_28_240v {E62BD384-537C-4F68-95CF-2B2C308F8A7E}
Load.tl_house_14_240v {6C357646-D8F4-4D23-A590-A98F399455E5}
Load.tl_house_29_240v {276B5BFD-EAAF-4789-82CC-94BBC11082B7}
Load.tl_house_15_240v {404AA153-962F-40B0-9CAD-B9D6FCA51D79}
Load.tl_house_30_240v {7FB0C14F-706D-4B01-9F42-DD52B69E45B1}
Transformer.object_162_a {F80F5FB8-4795-4AFC-9728-AF38CB0592CA}
RegControl.object_162_rega {C0068BCF-9F1D-4FB7-BA1A-DEE02B1E7EE5}
Transformer.object_162_b {40D7EA0C-9563-4D40-8394-8FB473277996}
RegControl.object_162_regb {5DE4B741-6091-4A67-B9B2-5F9EC6C6CE67}
Transformer.object_162_c {D6474D55-EAD9-439D-B7BD-FF3770D3F42F}
RegControl.object_162_regc {BD4EA4F5-4FB0-49BC-9057-89521B33F814}
Line.j1 {DF4991FA-E086-4232-AFB1-E21443413355}
Line.j2 {73804AA8-F0A1-4918-A3AF-F9AE34972630}
LineCode.object_14 {3CDAC16E-603B-478D-A285-0C4212BFF679}
LineCode.object_15 {1CA1F560-D70D-4F6C-8408-1C5010E3650F}
LineCode.object_16 {1E8B99CF-7F3C-45DE-A9F0-C710196A7575}
LineCode.object_17 {E4F55B58-FCDD-4C86-A46A-8B33B0D5C358}
LineCode.object_18 {D44F3B84-B3EF-4D6D-B638-537A603D0261}
LineCode.object_21 {E3770A90-9BCF-41CC-AD24-5A118B8913A0}
LineCode.object_22 {0A5E5CD9-B5B4-4982-9AB0-8314938C3B18}
LineCode.triplex_line_configuration_1 {332900A1-69CB-4D05-8FAD-63FA8C0BAECA}
XfmrCode.xfcode_object_151 {1CCA6406-8CB8-4A2B-91CE-1A6F3B1C0AAD}
XfmrCode.xfcode_as_config_634 {22010E70-862A-43A0-8D25-1221AA4E8E29}
XfmrCode.xfcode_bs_config_634 {85F258ED-17BB-4A44-AB6E-1A487F2B6C18}
XfmrCode.xfcode_cs_config_634 {A3360D80-D3EE-4F21-991A-42CDCAB7988A}
XfmrCode.xfcode_as_config {BA9FD83E-0639-4D0D-A5B8-AE304A2613E8}
XfmrCode.xfcode_bs_config {1181C5A5-3873-4F7E-A990-FE81391BD202}
XfmrCode.xfcode_cs_config {236B177D-54F0-47E3-A1B0-36434E71BAE2}
XfmrCode.cimxfmrcode_object_162_a {0BFFEFA6-791E-4E4C-9BC1-108463B12E7F}
XfmrCode.cimxfmrcode_object_162_b {0A42B140-7826-4498-8686-075269F51541}
XfmrCode.cimxfmrcode_object_162_c {1ACE3502-EA7E-4A6D-A5AA-B9F086C27097}
Station=Station=1 {FAB77A25-942A-4536-8CBF-9353FED381D6}
GeoRgn=GeoRgn=1 {8DF30395-EE08-4989-9102-06CB5F131391}
SubGeoRgn=SubGeoRgn=1 {C9166EED-D7D5-4A45-A75D-A22FD436EC32}
CIMVer=IEC=1 {4A763DAF-438F-4DD1-8DFE-3EF5352EE001}
CoordSys=Local=1 {80700661-B4E2-47C7-AF33-9BB13F728F88}
FdrLoc=ieee13ochre=1 {6D94C4CB-9894-4464-B490-9A93CC9E18FC}
TopoIsland=Island=1 {C28C762D-455D-4846-89C5-408CB609F547}
OpLimT=NormalAmps=1 {7C2F5FFA-30CD-43AF-B2CA-39777A30BF79}
OpLimT=EmergencyAmps=1 {BDF8C2A4-F1F3-418F-B588-267926EB5D0F}
OpLimT=AHi=1 {068CF9DA-F95E-4E39-A4C3-01778C18C0BA}
OpLimT=ALo=1 {BAC81ECD-AB0A-45CF-9CF3-3B71090AEA0E}
OpLimT=BHi=1 {FCDF3847-0496-401F-BF56-405CC8A07DD8}
OpLimT=BLo=1 {F0A21B54-BECA-4211-9A6A-5FE0D1D93F2A}
BaseV=BaseV_115.0000=1 {9CD45876-3AC8-4AA2-BF6E-2A05D879A122}
OpLimV=OpLimV_115.0000=1 {25680E95-194A-43E0-A92D-3F33736F80A5}
OpLimAHi=BaseV_115.0000=1 {34EB5542-9A67-4D87-8E63-FE3438A418BD}
OpLimALo=BaseV_115.0000=1 {E4F94535-0400-41D7-92C5-BFE352260301}
OpLimBHi=BaseV_115.0000=1 {A00208DC-5AE9-4B93-B5D6-644B11D78933}
OpLimBLo=BaseV_115.0000=1 {2A1FDAAD-1BB2-430D-ACFF-620ECC328167}
BaseV=BaseV_4.1600=1 {AF71D427-FB8C-4332-BEEA-DF9928DA9DBB}
OpLimV=OpLimV_4.1600=1 {A2E34389-FF08-4702-AE4D-A5FC2D148F66}
OpLimAHi=BaseV_4.1600=1 {62B2DD4B-930D-4C19-BFB0-DB03B231B1E7}
OpLimALo=BaseV_4.1600=1 {B31FB4CA-4FF5-488E-B75C-5F2538DAC17C}
OpLimBHi=BaseV_4.1600=1 {BA528FEA-7164-4712-97A6-F61B64B622EA}
OpLimBLo=BaseV_4.1600=1 {6FA1D4C1-95CA-4A67-8CA4-F28DE504DE42}
BaseV=BaseV_0.4800=1 {784C2EBB-BB44-4585-9E2C-DA0932DE7536}
OpLimV=OpLimV_0.4800=1 {8C067B94-965B-42FF-BCF8-26258EB3EFB6}
OpLimAHi=BaseV_0.4800=1 {A1CE5205-1034-40AC-A047-A1864884859C}
OpLimALo=BaseV_0.4800=1 {9348BC08-9453-440B-8EC1-325EA0765314}
OpLimBHi=BaseV_0.4800=1 {50B038D0-1517-43A5-A8F4-DCDCF1E143FE}
OpLimBLo=BaseV_0.4800=1 {815A6C7D-6316-4873-9A58-ED0A1C8985FC}
BaseV=BaseV_0.2080=1 {4B1D7945-2D9C-4790-8CB6-C38589B2C1ED}
OpLimV=OpLimV_0.2080=1 {7549ACA4-E06E-48B8-AFCF-B3B0ADC1B652}
OpLimAHi=BaseV_0.2080=1 {811AD2F8-E9BA-4802-9E8D-CA63E4813356}
OpLimALo=BaseV_0.2080=1 {09082D9A-FEE9-4CC4-BACF-E82BC3DDB72C}
OpLimBHi=BaseV_0.2080=1 {86064FA7-5D6C-4D76-AEB9-10D7FDA019F7}
OpLimBLo=BaseV_0.2080=1 {1B2E0987-4DA0-4082-A528-A3909B7797C9}
Topo=sourcebus=1 {5004DE20-62E1-47ED-8144-567D2892B366}
Topo=rootbus=1 {FC47670C-D4AA-46D4-B31F-F040C8AF1D86}
Topo=node_650=1 {43E6F032-91B9-40DD-8DDA-0E7606F3D05E}
Topo=cap1=1 {73C31C0F-11AF-4382-B742-2B265D79316D}
Topo=cap2=1 {A352471E-7429-4C41-B442-264BB507C1BF}
Topo=node_671=1 {14F21C4F-B7D6-48E6-AE61-F380FADA686F}
Topo=node_692=1 {CF88D989-9A7A-4302-BD2A-043BAC42E531}
Topo=node_632=1 {3BE9CBB1-61EE-4F5E-B17E-B698A2800E9B}
Topo=node_645=1 {EBDF6036-282B-4A3B-9776-43978185C32E}
Topo=node_646=1 {EB2A5565-ECFC-402D-B225-DD767BBDC7EA}
Topo=node_630=1 {990CF9F9-5A9F-4B6D-A1D9-BE900FCCAD1A}
Topo=node_6321=1 {BCA23B3B-8128-4E20-9901-F3C37E77C0D1}
Topo=node_680=1 {0E9C7BDE-76DF-48EE-A39F-C57BE1552CEC}
Topo=node_684=1 {9FC25F70-1E77-4B18-9DFB-EEF83F50B11A}
Topo=node_611=1 {1CF76A22-CE74-4A9F-B355-E46768EAAB77}
Topo=node_633=1 {92213434-4509-46D2-BBD1-BC493C730E7A}
Topo=node_652=1 {EE5D9EF1-0F7B-4633-9F5E-4650C0B5057C}
Topo=node_675=1 {3A043998-534A-4EBE-991F-28B5BAE83CF8}
Topo=trip_node1=1 {539E2D14-03BE-4744-8F77-A364C8094B42}
Topo=tl_house_1=1 {7E184BAF-B01D-4F46-898A-2BC40457E8F7}
Topo=trip_node2=1 {77967327-FD40-4471-A948-3806410E84D5}
Topo=tl_house_2=1 {EEB3A238-F6B1-4B1F-89CC-779805BCBDB5}
Topo=trip_node3=1 {59D5B503-A985-4CC3-AA94-44EE889108DF}
Topo=tl_house_3=1 {B327B89E-CE8A-4F44-8DB0-84E6149678F1}
Topo=trip_node4=1 {CA421C63-0116-4EE7-89BA-9EB17549B0FE}
Topo=tl_house_4=1 {CC055B42-4BB3-482F-8586-C30E71B591B9}
Topo=trip_node5=1 {2ACF01E9-AADF-4FAD-AFFA-CF9159579DC5}
Topo=tl_house_5=1 {B991B4C4-3CC0-480B-A914-93CFE1ED0B01}
Topo=trip_node6=1 {A754C57B-4F6E-41D5-9755-47DAFA8A4F12}
Topo=tl_house_6=1 {616B9FD1-7E73-45B1-8586-A406C2FE4FC7}
Topo=trip_node7=1 {6AE55134-3DE0-470A-BBE1-04ABD1BE3450}
Topo=tl_house_7=1 {345149BC-001B-48C9-A6DC-278255317AA8}
Topo=trip_node8=1 {F8F9CCAD-9111-4ECD-AA60-78147453A5BD}
Topo=tl_house_8=1 {F77406E7-2620-46CE-8586-8014FFDBB424}
Topo=trip_node9=1 {5F354E28-B991-42BE-9075-B438A5192A32}
Topo=tl_house_9=1 {B4E5F568-48FF-4671-975D-6E6A413E64AB}
Topo=trip_node10=1 {B08222E7-B81D-4917-852C-9406E4DA62F9}
Topo=tl_house_10=1 {427A748C-8C41-4FD2-BE39-10A97B6BCE51}
Topo=trip_node11=1 {3486020E-52B0-451D-8FC9-8473C8108223}
Topo=tl_house_11=1 {14360DFE-B0EE-46C0-B88A-ECBDDA2CF30B}
Topo=trip_node12=1 {87EEA461-A0E9-4406-A5F1-6842A6999817}
Topo=tl_house_12=1 {D49AE8CB-A8C0-4244-84B8-718B489C1CA3}
Topo=trip_node13=1 {C62D4F5D-8954-427A-920F-4E9E8F716189}
Topo=tl_house_13=1 {F0A438EA-C44D-4AFB-B6D1-501AA6D2D1C5}
Topo=trip_node14=1 {D92DE596-817E-4F18-B999-07CE8160A471}
Topo=tl_house_14=1 {786078C1-1220-4B96-AA52-5E9225C56434}
Topo=trip_node15=1 {F7481909-FF80-434B-9814-7ED17D76DC9A}
Topo=tl_house_15=1 {70DB9888-938A-44A2-8B42-7909143DC826}
Topo=tl_house_16=1 {0B092845-2221-4554-A7F3-5387B0A1D18E}
Topo=tl_house_17=1 {B77815F6-EACF-4C19-8B6A-7999F80A706D}
Topo=tl_house_18=1 {9AEFE7FB-C177-4871-9B9D-34E6BA0035C3}
Topo=tl_house_19=1 {9AFF0D8B-6E3F-40EA-9138-06C3D69463D4}
Topo=tl_house_20=1 {4E90B856-6081-4778-8F29-BE59C0DBC33B}
Topo=tl_house_21=1 {F8EF7476-0EAF-4FEF-9510-FA53EB5377B2}
Topo=tl_house_22=1 {7B30F032-CFCD-4C31-945D-291507FB978C}
Topo=tl_house_23=1 {FA0C6A88-5C7F-4371-8664-DF461D6DB3A9}
Topo=tl_house_24=1 {92704485-F2CC-415B-83FD-AADE0F0626E6}
Topo=tl_house_25=1 {E9401F09-D29D-431F-9B27-A7BC69E47B7F}
Topo=tl_house_26=1 {B5AF0698-F2CB-44BA-9E48-8A57D32AD2B6}
Topo=tl_house_27=1 {A7ADC13A-80FD-4AFC-B73D-D3A6461488B9}
Topo=tl_house_28=1 {00C02B9C-92A5-40D3-816B-8D56373E874F}
Topo=tl_house_29=1 {9E7FC0D9-C862-4B4A-9808-02A278A4F319}
Topo=tl_house_30=1 {AEAE5F85-C90C-4B60-A882-7AFE0FE9F40B}
Topo=tl_house_31=1 {75BA9B0F-CB90-4F55-B93E-F049FF497A9F}
Topo=tl_house_32=1 {DD7092C1-3903-4054-B5A3-62EA370D09C8}
Topo=tl_house_33=1 {3441509C-4AE9-4F17-B84D-A5E0265DE674}
Topo=tl_house_34=1 {4748AED7-E409-4207-A97B-8A7A74CEFC01}
Topo=tl_house_35=1 {9E1AA6C1-1ADF-4CE5-B395-CAC710AC29E2}
Topo=tl_house_36=1 {739417F7-D1F9-41EA-9DBC-5ADC0843792D}
Topo=tl_house_37=1 {B5F2A172-EA55-48D2-940C-5700686DF8B6}
Topo=tl_house_38=1 {CB6D58DC-B50B-40E4-9BD4-F5C44F86E781}
Topo=tl_house_39=1 {A2547D67-951F-47E9-A92E-782B97E02017}
Topo=tl_house_40=1 {738C5361-375F-44F2-A3E8-BF442BF4226E}
Topo=node_634=1 {FBB0A066-7B71-415A-BDC3-028EF20E6FEF}
SrcLoc=source=1 {C7C5420A-0246-4618-B5C4-AE28EEB635B6}
25=source=1 {D8C47D7F-6D65-468C-A341-D2FEB38F350C}
PosPt=Vsource.source=1 {BB43D373-283C-47C4-97C5-1832459A0210}
CapLoc=cap1=1 {27AD15E8-F8F8-4939-8A2A-80C51F157FEA}
106=cap1=1 {3FF48242-B017-4DC2-BB0B-0AECBBA23FA7}
OpLimI=OpLimI_168.6_224.8=0 {49CB6499-36CE-44DF-B5BE-5A9367AEAA95}
PosPt=Capacitor.cap1=1 {B9B0F218-C93D-4FF2-B3E9-6EE063771273}
