Circuit.ieee123transactive {503D6E20-F499-4CC7-8051-971E23D0BF79}
Bus.node_17 {BF7F144D-4A6D-4458-94CE-50E4931F0F50}
Bus.node_21 {95EEAFF0-2957-46FF-B7A2-69A2A1EE184F}
Bus.node_22 {28B5467C-95FB-45C1-AB7C-93287B934CB2}
Bus.node_20 {9CCFC4BC-198B-4FA5-992A-243F439214C9}
Bus.node_23 {336313C0-16A9-47CB-890C-F03DB2F3FFE6}
Bus.node_24 {DB46C54C-455D-4B85-8DAF-A260840C9825}
Bus.node_25r {D51C18D8-CB43-40F2-98AD-D5789913BCF1}
Bus.node_26 {BE027704-1656-4458-9862-03120C97D53D}
Bus.node_25 {A933B85F-6F0A-4D11-9DDC-BD0A579C5F67}
Bus.node_27 {31B6EC95-15DB-4E80-B556-30511D549DFB}
Bus.node_28 {959AF95B-A00A-4CC2-B22B-BD534A5E1DFC}
Bus.node_33 {FF98F503-AFDF-431A-8F6D-157AC2E4380C}
Bus.node_31 {24AF364E-E9BA-4A08-8F05-D0F4D0384C08}
Bus.node_29 {D0B103A0-F1E0-4024-A40A-DCC7690FD471}
Bus.node_30 {5BCDF3B9-BE89-49AC-BA15-1472E5B2F6A7}
Bus.node_250 {EA20B17B-0825-4527-A137-A782062467F5}
Bus.node_32 {A4B4153F-41E9-4F4C-91FD-C3052F93264E}
Bus.node_40 {EB509EAA-2A8C-42C2-BE17-21F36E7A031B}
Bus.node_36 {ABD7D22F-24E8-4D1D-8F73-F744F47B1360}
Bus.node_38 {6790DE9C-92CB-44AC-99BF-820ADFF49C5D}
Bus.node_37 {B17E98F9-6BD7-4028-ABD9-7A7FE5E56C6D}
Bus.node_39 {E82591F5-6DA5-4544-BA32-4D9A488D63FF}
Bus.node_42 {29866E33-F655-4622-9EB7-297C78E11A17}
Bus.node_41 {3F15C952-41B6-4541-981D-36245F51D580}
Bus.node_44 {E8BB8D22-4CCB-4AED-92BA-4D009C14D932}
Bus.node_43 {820FCC64-B662-4DF6-A9D2-3C0B55947CE6}
Bus.node_47 {4C18E59B-FAF3-47CC-A731-C9A5837F5E88}
Bus.node_45 {4C3093BC-00FE-47A1-A811-671EF283BCFC}
Bus.node_48 {8B46258E-E20E-4A48-9342-357D653B7DEF}
Bus.node_46 {FC79F253-3A8F-4B14-8EC7-BED2D133C271}
Bus.node_49 {CD5B6B98-DEE9-4A99-8173-5B1F4C3D8B47}
Bus.s_node_1_a {19B309C5-C032-4F88-957B-3DD412C34462}
Bus.house_agg_0_a_1_node_1_1 {9EAB5606-19D2-4ACA-9E4E-F3EA84430981}
Bus.house_agg_0_a_2_node_1_2 {9700E6CF-E110-45CB-8B3A-7C53F5BF4A09}
Bus.house_agg_0_a_3_node_1_3 {06B66427-DEEC-4163-843B-C8078F936AB8}
Bus.house_agg_0_a_4_node_1_4 {5706EB9A-3967-4F70-9979-4A9A6FAFAD85}
Bus.house_agg_0_a_5_node_1_5 {C7815127-3B81-42FD-BD79-623F2100A39C}
Bus.house_agg_0_a_6_node_1_6 {46DA4725-B87D-4F55-8D26-93E8EB8D5D9C}
Bus.house_agg_0_a_7_node_1_7 {0B1452F6-0BA5-4CB5-9D65-AD5074254F6C}
Bus.house_agg_0_a_8_node_1_8 {896F814B-BDA1-4DCD-801C-E64922637D9C}
Bus.house_agg_0_a_9_node_1_9 {0096AA41-A862-437F-94CA-8C3A6A67003B}
Bus.house_agg_0_a_10_node_1_10 {2E789124-B8FA-4865-A3C6-2210E7F4BD9B}
Bus.house_agg_0_a_11_node_1_11 {9F996161-240E-41C3-8DDB-76076E1C562F}
Bus.house_agg_0_a_12_node_1_12 {DB1B59F9-FBFC-4B3A-97F3-5BA29152FDA8}
Bus.house_agg_0_a_13_node_1_13 {B1E1A529-4809-408F-8D50-9DDB13E74949}
Bus.house_agg_0_a_14_node_1_14 {CD7A7606-3F5B-4DF0-9C9C-DB398CEC8B8E}
Bus.house_agg_0_a_15_node_1_15 {749D681C-53C2-48F6-ADC6-8F34C114DBBF}
Bus.s_node_2_b {D95972EC-EF21-4408-AEF0-6371AA45C16D}
Bus.house_agg_0_b_1_node_2_16 {2F435F63-6C3B-4FF9-A2B3-B29C2F4AAB3A}
Bus.house_agg_0_b_2_node_2_17 {491B991E-957F-44B6-90F2-29EF91029A14}
Bus.house_agg_0_b_3_node_2_18 {126A4D76-F451-4BD5-8392-E1E848938159}
Bus.house_agg_0_b_4_node_2_19 {1CB6C101-7BDC-4584-AA5F-AFEE7A3A8D1C}
Bus.house_agg_0_b_5_node_2_20 {EB6E423E-0F9F-48B1-8749-F480E4B8DEC8}
Bus.house_agg_0_b_6_node_2_21 {AB31434D-EF1D-4F22-B394-5AB15A9AAC9A}
Bus.house_agg_0_b_7_node_2_22 {9B7A854E-A86E-4F59-A87D-CF1BF60C6FCB}
Bus.house_agg_0_b_8_node_2_23 {528711B0-A770-4B58-97D9-CDC64012C7CC}
Bus.s_node_4_c {B5223630-45BF-4D99-890B-1D46934A79B4}
Bus.house_agg_0_c_1_node_4_24 {B6C8C329-3B5B-4773-A5D4-1EBA5E0114D8}
Bus.house_agg_0_c_2_node_4_25 {00CA7824-7915-47E1-9FBD-BA4699AB286F}
Bus.house_agg_0_c_3_node_4_26 {7E802A1E-3978-4BD2-AA3F-3A531EF38EAF}
Bus.house_agg_0_c_4_node_4_27 {B82047BD-B689-41E5-97B9-57E82A4AA706}
Bus.house_agg_0_c_5_node_4_28 {92732685-F963-47C6-91C5-B11A1F361F2B}
Bus.house_agg_0_c_6_node_4_29 {13B05E62-D5A1-48A7-BC63-B4E229E3A9BB}
Bus.house_agg_0_c_7_node_4_30 {38FAAA33-1B82-4DDC-9D54-97FFB677C9AF}
Bus.house_agg_0_c_8_node_4_31 {E140C4ED-AEBE-4370-884C-19E457E3228B}
Bus.house_agg_0_c_9_node_4_32 {CBBD6FC9-56B5-4BC3-B310-7E9EE3CC8183}
Bus.house_agg_0_c_10_node_4_33 {ECB3C3D9-8B76-4186-B166-07B4EF2AE26A}
Bus.house_agg_0_c_11_node_4_34 {F828D586-132B-4FF3-8573-2425CB4694B2}
Bus.house_agg_0_c_12_node_4_35 {6E34DB88-602A-4D06-A746-7EAC5699E548}
Bus.house_agg_0_c_13_node_4_36 {488957AF-8C42-42EF-8873-1602BC119780}
Bus.house_agg_0_c_14_node_4_37 {2467DD17-9BEA-4308-9775-6552F2D03071}
Bus.house_agg_0_c_15_node_4_38 {FDCED9C7-14B2-45AA-925C-2BE093A44569}
Bus.s_node_5_c {8B0D6435-5610-429C-A19B-C9A373AA340A}
Bus.house_agg_0_c_1_node_5_39 {F380153D-03E8-4462-B109-2578A37B5456}
Bus.house_agg_0_c_2_node_5_40 {C86327B5-E82B-40FA-A641-5BBAAACB5585}
Bus.house_agg_0_c_3_node_5_41 {71B2868C-6C9B-413C-AA6C-1B9134F1B3C1}
Bus.house_agg_0_c_4_node_5_42 {D1698D11-BD95-45D6-9137-E281E2FC8F9C}
Bus.house_agg_0_c_5_node_5_43 {55E3C688-4998-4737-8E81-92FBCA1AFB2B}
Bus.house_agg_0_c_6_node_5_44 {4F2C51CF-F43D-48D8-94F8-E6351D5DFC8C}
Bus.house_agg_0_c_7_node_5_45 {982A6523-440A-4AA3-9B0D-11C7660D2C1F}
Bus.house_agg_0_c_8_node_5_46 {B2FFE410-BFD9-4307-89E7-F30E42D61C70}
Bus.s_node_6_c {CE3045AC-7F61-4D20-A796-B51EA161615A}
Bus.house_agg_0_c_1_node_6_47 {DA30B268-B943-413A-BCC5-5AC6216D5D1D}
Bus.house_agg_0_c_2_node_6_48 {BF425271-7D65-4D63-8B90-4E2542DE0E9A}
Bus.house_agg_0_c_3_node_6_49 {AE28D0B1-3C1F-4624-A567-FE48E972A17B}
Bus.house_agg_0_c_4_node_6_50 {29B2F078-FC34-4FE8-BC04-E091C738F0CE}
Bus.house_agg_0_c_5_node_6_51 {F4DFED93-6013-425B-BD07-3DB0B3C020EA}
Bus.house_agg_0_c_6_node_6_52 {712C2D8A-ECA1-4FEC-BB51-2EDF3669466F}
Bus.house_agg_0_c_7_node_6_53 {D3D13A71-1F50-497F-893A-BFFBA286E89A}
Bus.house_agg_0_c_8_node_6_54 {CA12E025-2D20-4C57-A337-22002AEA5615}
Bus.house_agg_0_c_9_node_6_55 {6CC7F7AD-D3A3-44F6-B57E-653CF47DC779}
Bus.house_agg_0_c_10_node_6_56 {FC4282F9-B73B-4F4A-A252-B12B1E9251F6}
Bus.house_agg_0_c_11_node_6_57 {E63C4FE4-321E-4A79-B4D3-1638B7202360}
Bus.house_agg_0_c_12_node_6_58 {F30F17E4-425B-4B5F-B8A2-DF72D62FC13B}
Bus.house_agg_0_c_13_node_6_59 {D875E1FE-505D-4D59-B06E-A1861130B282}
Bus.house_agg_0_c_14_node_6_60 {3978C7AA-788C-4CF6-A05D-1AECA224709B}
Bus.house_agg_0_c_15_node_6_61 {FC4C601E-734F-4FCC-941A-B1B581F8094D}
Bus.s_node_7_a {84AEA61C-792B-4A95-86F7-52578097AD71}
Bus.house_agg_0_a_1_node_7_62 {D644CD96-18CA-4CC5-AB9A-9B5D5422C254}
Bus.house_agg_0_a_2_node_7_63 {341AF337-6962-4C8D-A2BF-1988CF6C7037}
Bus.house_agg_0_a_3_node_7_64 {2CC30B69-FA68-403B-BB52-D8564A260D2A}
Bus.house_agg_0_a_4_node_7_65 {7BF0124C-04A3-4DE3-9D51-6F33343C710B}
Bus.house_agg_0_a_5_node_7_66 {A18E47D5-344E-4BBA-BC5D-C45C230D66F6}
Bus.house_agg_0_a_6_node_7_67 {9836D67E-9640-48B1-AEDE-33556F38545B}
Bus.house_agg_0_a_7_node_7_68 {39C273EA-341C-4477-BBD2-1A6DD0D0D03B}
Bus.house_agg_0_a_8_node_7_69 {52CF1595-50FF-4FFD-93D6-BD5F17A06FC0}
Bus.s_node_9_a {D3F3F24E-6E0B-4E85-80E8-A3E49FC8B077}
Bus.house_agg_0_a_1_node_9_70 {7F487DE2-6572-4286-8AE5-BD1BC41BCBCB}
Bus.house_agg_0_a_2_node_9_71 {F3321F39-59AE-4C09-8C8C-6D1455CAB5CA}
Bus.house_agg_0_a_3_node_9_72 {8C6092E7-941C-4FB8-8179-0035F4447B44}
Bus.house_agg_0_a_4_node_9_73 {C50F7925-4278-4BBF-A230-F897FE13BAE4}
Bus.house_agg_0_a_5_node_9_74 {FB1F428F-28B3-4DC0-8EFE-47497752EC99}
Bus.house_agg_0_a_6_node_9_75 {43F4EF23-2AD9-43F4-A94F-C06B17C71261}
Bus.house_agg_0_a_7_node_9_76 {A71920D9-E157-4829-A755-F21A9B430478}
Bus.house_agg_0_a_8_node_9_77 {008959E1-2357-437B-B8AF-0EBB9625A039}
Bus.house_agg_0_a_9_node_9_78 {5D542268-B04C-4039-9BB0-AAEEBBC8D242}
Bus.house_agg_0_a_10_node_9_79 {A8A194FD-2DA8-432D-8642-C46B47D6E670}
Bus.house_agg_0_a_11_node_9_80 {986BA430-CE42-46BF-8244-F9D1CB5793AE}
Bus.house_agg_0_a_12_node_9_81 {5F7AA31C-9B80-49A3-9CDD-5E5091363ABB}
Bus.house_agg_0_a_13_node_9_82 {FBCB2AE9-47CB-4AD6-BAE3-A3E51D0DA2D5}
Bus.house_agg_0_a_14_node_9_83 {0590C14B-220C-4F1B-80EE-6683FDEC422A}
Bus.house_agg_0_a_15_node_9_84 {20B0586F-2024-4941-A8F3-9FA74FBF3027}
Bus.s_node_10_a {DE8BBA9B-46E3-4B26-9307-F47208789301}
Bus.house_agg_0_a_1_node_10_85 {D8DF2AA4-F29C-4C9D-AA0F-7A843FFCD19F}
Bus.house_agg_0_a_2_node_10_86 {56941852-985A-4CB0-A5CE-C465E934C0D5}
Bus.house_agg_0_a_3_node_10_87 {1D840DCE-781C-42C6-8BEB-982C5E5352F8}
Bus.house_agg_0_a_4_node_10_88 {D8ABF040-4681-49C6-A464-299E443FB176}
Bus.house_agg_0_a_5_node_10_89 {5B223C85-3E11-45BD-B5D6-AC79713AF85C}
Bus.house_agg_0_a_6_node_10_90 {B0FA67A7-D699-4835-94AD-FBCDFB9F7C83}
Bus.house_agg_0_a_7_node_10_91 {2D1E5D12-1487-472F-AFCB-3BBB7D41F8CB}
Bus.house_agg_0_a_8_node_10_92 {2EAFA9C2-553D-4859-8CF6-2E88BEE21FAD}
Bus.s_node_11_a {970AD04B-8764-4798-8FF6-446C714A4430}
Bus.house_agg_0_a_1_node_11_93 {BBD0F2EF-817E-428B-A7EB-BF9D537108F1}
Bus.house_agg_0_a_2_node_11_94 {7861315C-778D-4B76-9C47-B4D23DAD3816}
Bus.house_agg_0_a_3_node_11_95 {88CB5550-1C6E-43EB-8F60-F972876D0DD9}
Bus.house_agg_0_a_4_node_11_96 {8B46CCCD-6CC4-45A6-A784-E5FD289C674C}
Bus.house_agg_0_a_5_node_11_97 {4928B7F0-FC30-4C48-AD89-24A4CE93B0AE}
Bus.house_agg_0_a_6_node_11_98 {25DA4EED-DDDF-4333-A10F-5F3CDE5E22D3}
Bus.house_agg_0_a_7_node_11_99 {F3542D69-D31C-4D11-830D-D0CA55564145}
Bus.house_agg_0_a_8_node_11_100 {3BFB68B4-1A32-4711-8E42-CAE59E7DB2B9}
Bus.house_agg_0_a_9_node_11_101 {E284ED2B-172C-4338-84D6-D4A31FEE12F0}
Bus.house_agg_0_a_10_node_11_102 {4D31C634-8427-4FB2-A482-B992451138AA}
Bus.house_agg_0_a_11_node_11_103 {5E684033-C373-4185-9E7B-6012786B5B4B}
Bus.house_agg_0_a_12_node_11_104 {D35474F4-676C-4533-8105-4AEFE38561D4}
Bus.house_agg_0_a_13_node_11_105 {4CD1E795-4313-4046-8638-6BA3E710AB35}
Bus.house_agg_0_a_14_node_11_106 {FD707FC5-4917-4404-9657-308E2DB47BF2}
Bus.house_agg_0_a_15_node_11_107 {6F76E297-7B0A-4039-9193-76F28C2E7526}
Bus.s_node_12_b {A7DC7A86-9CEB-414E-B4DA-DF8934AAED6C}
Bus.house_agg_0_b_1_node_12_108 {B283BD53-8F6D-4061-9C4D-8F9ED5518231}
Bus.house_agg_0_b_2_node_12_109 {EB5BAA40-495D-4E9A-9BCE-FB2A7430EDD0}
Bus.house_agg_0_b_3_node_12_110 {99E00236-8DCC-4F4A-A6C0-DA93DFE51DD8}
Bus.house_agg_0_b_4_node_12_111 {E404A4BA-ADB7-4A4A-8050-9E926D768ED2}
Bus.house_agg_0_b_5_node_12_112 {70CF9F4A-6C18-429F-A317-343754088794}
Bus.house_agg_0_b_6_node_12_113 {F1ADD50A-76D2-4235-A264-79456A3ED40C}
Bus.house_agg_0_b_7_node_12_114 {41B6B066-9345-449D-8C8D-464C5F4CF285}
Bus.house_agg_0_b_8_node_12_115 {83243BD5-6BDD-446F-A846-B20AD78C683C}
Bus.s_node_16_c {3E24D756-5432-44FD-883C-A5A00F59FFC8}
Bus.house_agg_0_c_1_node_16_116 {72881BEA-6EF7-4525-9CFD-068CC9ED01E7}
Bus.house_agg_0_c_2_node_16_117 {49ED8BAF-45A9-4541-A281-8B01E3873494}
Bus.house_agg_0_c_3_node_16_118 {FE5CCAE2-377C-4C2C-85B4-86ACB8254F0F}
Bus.house_agg_0_c_4_node_16_119 {DBF6B7A7-4A61-4795-B779-7872EFE75263}
Bus.house_agg_0_c_5_node_16_120 {504ED53B-990F-4229-9A84-7EF619E2EA66}
Bus.house_agg_0_c_6_node_16_121 {BE768256-EB41-4274-A71A-89CFA43E9628}
Bus.house_agg_0_c_7_node_16_122 {CB7558F9-34A0-4B8A-AF78-4D0329209F87}
Bus.house_agg_0_c_8_node_16_123 {54F2E4CE-89ED-4F05-89B9-6D7EB8A3F8F9}
Bus.house_agg_0_c_9_node_16_124 {8C9C06A9-FC81-4B4F-B2F4-1DD77CA41300}
Bus.house_agg_0_c_10_node_16_125 {2C5C4E2B-4FD1-4F43-B6E8-1F89ACD417C8}
Bus.house_agg_0_c_11_node_16_126 {F33B218A-9E08-44A3-9BD7-A609A46BC1B2}
Bus.house_agg_0_c_12_node_16_127 {5B03A80D-0A42-4B32-A121-7F743A4A2CBF}
Bus.house_agg_0_c_13_node_16_128 {24F8B452-8119-4FF1-B9A1-7EB535F3C295}
Bus.house_agg_0_c_14_node_16_129 {17E5CB34-85FC-4DDD-9CD3-2EEF55A28FEE}
Bus.house_agg_0_c_15_node_16_130 {E32C9F3F-A45A-4E16-A37D-98AA5BBFF482}
Bus.s_node_17_c {7CE3F100-AE6E-46EC-BB90-2B34F2B8D614}
Bus.house_agg_0_c_1_node_17_131 {CC27B420-4D9D-45B1-809F-12F4808CF0FC}
Bus.house_agg_0_c_2_node_17_132 {1992A6BC-C95C-42AE-AFE0-914C40DE6B83}
Bus.house_agg_0_c_3_node_17_133 {976F6515-BC1C-47B6-8907-D99240D52424}
Bus.house_agg_0_c_4_node_17_134 {310AAA10-45B1-4654-8317-6210A2630730}
Bus.house_agg_0_c_5_node_17_135 {CB8CE401-C922-49A8-AD83-BF539A0C361F}
Bus.house_agg_0_c_6_node_17_136 {06088932-0581-435B-9CFE-E93DE4F8ACE2}
Bus.house_agg_0_c_7_node_17_137 {F81A667B-0634-4AF5-8E3A-F225FB8542BD}
Bus.house_agg_0_c_8_node_17_138 {2D97D9DE-D91D-473B-9E9C-A3610DA81429}
Bus.s_node_19_a {A2DE7170-4B49-41D5-99E0-1F3BFAE7381B}
Bus.house_agg_0_a_1_node_19_139 {DAE164CB-82E0-402D-8662-FD0F47992A35}
Bus.house_agg_0_a_2_node_19_140 {29CE7C9E-4981-48DE-AC39-99DEF9FF5151}
Bus.house_agg_0_a_3_node_19_141 {B1389CC8-DF97-4236-9550-DE5BA3C745A3}
Bus.house_agg_0_a_4_node_19_142 {669A892B-3411-45D1-9B18-2E6B2310F11D}
Bus.house_agg_0_a_5_node_19_143 {39A4F53D-B7A7-4A77-A166-89EB5DA10B5E}
Bus.house_agg_0_a_6_node_19_144 {5B40B671-6405-4592-884C-8E902C01A153}
Bus.house_agg_0_a_7_node_19_145 {D3565840-35E2-42D8-90F4-85D84A12D2E2}
Bus.house_agg_0_a_8_node_19_146 {CB64BDAB-8C04-456C-A99C-089759A2F09C}
Bus.house_agg_0_a_9_node_19_147 {9B72B5DC-C67E-441B-82C6-86603C230976}
Bus.house_agg_0_a_10_node_19_148 {339AA41F-2D59-4D7A-9F83-D8986B101D2C}
Bus.house_agg_0_a_11_node_19_149 {65135E67-AE44-493A-A775-E5666DA9DD34}
Bus.house_agg_0_a_12_node_19_150 {983E56FB-730C-4F93-BA79-9EC12AC9AA97}
Bus.house_agg_0_a_13_node_19_151 {668DCC7A-B5B0-4919-A7EB-D3A5F957C4A4}
Bus.house_agg_0_a_14_node_19_152 {5C7714FA-1C16-4432-A7C6-76D845AE1E4C}
Bus.house_agg_0_a_15_node_19_153 {9D5903B1-DD6C-429C-8D12-EB460D4B1601}
Bus.s_node_20_a {A4001450-9509-4407-8FE9-64D0E86B9E0A}
Bus.house_agg_0_a_1_node_20_154 {7B1F59B5-5632-4B54-B39C-DC067E7FD060}
Bus.house_agg_0_a_2_node_20_155 {E2D31665-3D69-4D88-ABEB-CB9A92DFF2D4}
Bus.house_agg_0_a_3_node_20_156 {C2738B56-068B-499A-BE28-D71A31E03CB1}
Bus.house_agg_0_a_4_node_20_157 {63FD462B-9F35-4321-8C02-63CA41DE2BD2}
Bus.house_agg_0_a_5_node_20_158 {4ABAA692-C649-405B-8286-A9670718AD45}
Bus.house_agg_0_a_6_node_20_159 {63CA65CD-B917-412E-8E73-575E70DC0CAB}
Bus.house_agg_0_a_7_node_20_160 {2D1923A7-4C12-4C7C-B3F5-559AB5B37818}
